case_order,case_id,case_group,routing_condition,source_result_representation,oracle_result_representation,expected_unified_result_json,observed_unified_result_json,exact13_type_value_equality,case_passed
32,ROUTING_STAGE_NONE,routing_stage,None forwarded without routing error,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
33,ROUTING_STAGE_OBJECT,routing_stage,non-Mapping forwarded without routing error,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
34,ROUTING_STAGE_EMPTY_MAPPING,routing_stage,empty Mapping accessed by formal then oracle,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
35,ROUTING_STAGE_FALSE,routing_stage,exact False accessed twice and projected lowercase,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""normalized_values"":[[""current_stage_download_authorized"",""false""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
36,ROUTING_STAGE_TRUE,routing_stage,exact True accessed twice and projected lowercase,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
37,ROUTING_STAGE_EXTRA_KEYS,routing_stage,extra keys and ADMIT_015 item not accessed,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
38,ROUTING_STAGE_KEYERROR,routing_stage,KeyError evaluated independently twice,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""CURRENT_STAGE_DOWNLOAD_AUTHORIZED_MISSING"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
39,ROUTING_STAGE_RUNTIMEERROR,routing_stage,RuntimeError evaluated independently twice,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
40,ROUTING_STAGE_VALUEERROR,routing_stage,ValueError evaluated independently twice,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
41,ROUTING_FORMAL_ONCE,routing_calls,formal called exactly once,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
42,ROUTING_ORACLE_ONCE,routing_calls,oracle called once after source validation,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""normalized_values"":[[""current_stage_download_authorized"",""true""]],""validated_candidate_fields"":[],""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_014_unified_adapter_v1""}",true,true
43,ROUTING_SOURCE_INVALID_NO_ORACLE,routing_calls,source prevalidation precedes oracle,type=object,not_called,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",true,true
44,ROUTING_NONREPEATABLE_MISMATCH,routing_calls,formal/oracle mismatch fails closed,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",true]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""canonical_stage_authorization_record"":[[""current_stage_download_authorized"",false]],""validated_stage_authorization_fields"":[""current_stage_download_authorized""],""consumed_stage_authorization_fields"":[""current_stage_download_authorized""],""evaluator_io_used"":false}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
45,ROUTING_SOURCE_WRONG_TYPE,routing_source_failure,exact formal result type required,type=object,not_called,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",true,true
46,ROUTING_SOURCE_SUBCLASS,routing_source_failure,formal result subclass rejected,type=subclass,not_called,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",true,true
47,ROUTING_SOURCE_STORAGE_ORDER,routing_source_failure,Exact9 storage order required,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}",not_called,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
48,ROUTING_SOURCE_TYPE_DRIFT,routing_source_failure,Exact9 top-level types required,"{""admission_rule_id"":""ADMIT_014"",""outcome"":1,""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}",not_called,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
49,ROUTING_SOURCE_INVARIANT,routing_source_failure,Exact9 constructor invariants required,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""passed"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}",not_called,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
50,ROUTING_ORACLE_WRONG_TYPE,routing_oracle_failure,exact oracle result type required,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}",type=object,"{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
51,ROUTING_ORACLE_STORAGE,routing_oracle_failure,oracle Exact9 storage/order required,"{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_014"",""outcome"":""blocked"",""passed"":false,""blocks_candidate"":true,""reason"":""STAGE_AUTHORIZATION_CONTEXT_REQUIRED"",""canonical_stage_authorization_record"":[],""validated_stage_authorization_fields"":[],""consumed_stage_authorization_fields"":[],""evaluator_io_used"":false}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""admission_rule_id"":""ADMIT_014"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":false,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",true,true
